"topicId","title","family","status","priority","difficulty","mediaType","canonicalPath","surfaceFit","reviewStatus","summary"
"pp-choosing-profile-and-strategy","Choosing Your Experience Level and Strategy","orientation","D","Now","Beginner","article","docs/knowledge/orientation/choosing-your-experience-level-and-strategy.md","","px-ki2-taxonomy-reconciled",""
"pp-what-dashboard-is-for","What Dashboard Is For","orientation","D","Now","Beginner","article","docs/knowledge/orientation/what-dashboard-is-for.md","","px-ki2-taxonomy-reconciled",""
"pp-what-pocketpilot-is","What PocketPilot Is","orientation","D","Now","Beginner","article","docs/knowledge/orientation/what-pocketpilot-is.md","","px-ki2-taxonomy-reconciled",""
"pp-what-snapshot-is-for","What Snapshot Is For","orientation","D","Now","Beginner","article","docs/knowledge/orientation/what-snapshot-is-for.md","","px-ki2-taxonomy-reconciled",""
"pp-what-the-knowledge-library-is-for","What the Knowledge Library Is For","orientation","D","Now","Beginner","article","docs/knowledge/orientation/what-the-knowledge-library-is-for.md","","px-ki2-taxonomy-reconciled",""
"pp-what-trade-hub-is-for","What Trade Hub Is For","orientation","D","Now","Beginner","article","docs/knowledge/orientation/what-trade-hub-is-for.md","","px-ki2-taxonomy-reconciled",""
"strategy-breakout-watcher","Breakout Watcher","strategies","D","Now","Intermediate","article","docs/knowledge/strategies/breakout-watcher.md","","px-ki2-taxonomy-reconciled",""
"strategy-buy-the-dip","Buy the Dip","strategies","D","Now","Intermediate","article","docs/knowledge/strategies/buy-the-dip.md","","px-ki2-taxonomy-reconciled",""
"strategy-candle-signals","Candle Signals","strategies","D","Now","Intermediate","article","docs/knowledge/strategies/candle-signals.md","","Normalized draft v1","Candle Signals is a strategy built around the idea that individual candles and small candle formations can reveal short-term shifts in pressure, hesitation, rejection, or reversal. It is less about treating patterns as promises and more about reading them as compact clues about market behavior."
"strategy-confluence-alignment","Confluence Alignment","strategies","D","Now","Intermediate","article","docs/knowledge/strategies/confluence-alignment.md","","px-ki2-taxonomy-reconciled",""
"strategy-fibonacci-zones","Fibonacci Zones","strategies","D","Now","Intermediate","article","docs/knowledge/strategies/fibonacci-zones.md","","Normalized draft v1","Fibonacci Zones is a strategy built around the idea that markets often pause, react, or reverse around certain retracement and extension areas after a meaningful move. It is less about treating those zones like magical numbers and more about using them as structured reference points inside a broader market context."
"strategy-momentum-pulse","Momentum Pulse","strategies","D","Now","Intermediate","article","docs/knowledge/strategies/momentum-pulse.md","","Normalized draft v1","Momentum Pulse is a strategy built around short-term bursts of accelerating price movement. It is less about following a long trend from afar and more about recognizing when a move is gaining speed fast enough to become temporarily meaningful."
"strategy-range-trader","Range Trader","strategies","D","Now","Intermediate","article","docs/knowledge/strategies/range-trader.md","","px-ki2-taxonomy-reconciled",""
"strategy-reversion-bounce","Reversion Bounce","strategies","D","Now","Intermediate","article","docs/knowledge/strategies/reversion-bounce.md","","px-ki2-taxonomy-reconciled",""
"strategy-trend-follow","Trend Follow","strategies","D","Now","Intermediate","article","docs/knowledge/strategies/trend-follow.md","","px-ki2-taxonomy-reconciled",""
"glossary-30000-ft-view","30,000 ft View","glossary","D","Now","Beginner","article","docs/knowledge/glossary/30000-ft-view.md","","px-ki2-taxonomy-reconciled",""
"glossary-acceptance","acceptance","glossary","D","Now","Beginner","article","docs/knowledge/glossary/acceptance.md","","px-ki2-taxonomy-reconciled",""
"glossary-action-bias","action bias","glossary","D","Now","Beginner","article","docs/knowledge/glossary/action-bias.md","","px-ki2-taxonomy-reconciled",""
"glossary-breakout","breakout","glossary","D","Now","Beginner","article","docs/knowledge/glossary/breakout.md","","px-ki2-taxonomy-reconciled",""
"glossary-confirmation","confirmation","glossary","D","Now","Beginner","article","docs/knowledge/glossary/confirmation.md","","px-ki2-taxonomy-reconciled",""
"glossary-confirmed-confidence","confirmed confidence","glossary","D","Now","Beginner","article","docs/knowledge/glossary/confirmed-confidence.md","","px-ki2-taxonomy-reconciled",""
"glossary-confluence","confluence","glossary","D","Now","Beginner","article","docs/knowledge/glossary/confluence.md","","px-ki2-taxonomy-reconciled",""
"glossary-contagion","contagion","glossary","D","Now","Beginner","article","docs/knowledge/glossary/contagion.md","","px-ki2-taxonomy-reconciled",""
